# File: A328.globaltech_retirement.csv
# Title: oem technology lifetimes and shutdown rates
# Units: Years for lifetime and half.life; Unitless for shutdown.rate; steepness; median.shutdown.point; profit.shutdown.steepness
# Comments: maximum lifetime of cohort. If no retirement function is used; the entire cohort is retired in this number of years
#           shutdown.rate: portion of cohort retired each year; used by the phased-shutdown-decider retirement function.
#           half.life: number of years at which 50% of the cohort is retired; using the s-curve-shutdown-decider retirement function.
#           steepness: shape parameter used by the s-curve-shutdown-decider retirement function.
#           median.shutdown.point: profit-ratio at which 50% of the cohort is shut down for lack of profitability.
#           profit.shutdown.steepness: shape parameter of profit-shutdown-decider function.
# Column types: ccccicinni
# ----------
supplysector,subsector,technology,year,lifetime,shutdown.rate,half.life,steepness,median.shutdown.point,profit.shutdown.steepness
oem,ICE Passenger vehicles,ICE Passenger vehicles,final-calibration-year,30,,15,0.3,-0.5,6
oem,EV Passenger vehicles,EV Passenger vehicles,final-calibration-year,30,,15,0.3,-0.5,6
oem,ICE LCV,ICE LCV,final-calibration-year,30,,15,0.3,-0.5,6
oem,EV LCV,EV LCV,final-calibration-year,30,,15,0.3,-0.5,6
oem,3W,3W,final-calibration-year,30,,15,0.3,-0.5,6
oem,E 3W,E 3W,final-calibration-year,30,,15,0.3,-0.5,6
oem,2W,2W,final-calibration-year,30,,15,0.3,-0.5,6
oem,E 2W,E 2W,final-calibration-year,30,,15,0.3,-0.5,6
oem,ICE Passenger vehicles,ICE Passenger vehicles,initial-future-year,30,,15,0.3,-0.5,6
oem,EV Passenger vehicles,EV Passenger vehicles,initial-future-year,30,,15,0.3,-0.5,6
oem,ICE LCV,ICE LCV,initial-future-year,30,,15,0.3,-0.5,6
oem,EV LCV,EV LCV,initial-future-year,30,,15,0.3,-0.5,6
oem,3W,3W,initial-future-year,30,,15,0.3,-0.5,6
oem,E 3W,E 3W,initial-future-year,30,,15,0.3,-0.5,6
oem,2W,2W,initial-future-year,30,,15,0.3,-0.5,6
oem,E 2W,E 2W,initial-future-year,30,,15,0.3,-0.5,6
oem,ICE HCV,ICE HCV,final-calibration-year,30,,15,0.3,-0.5,6
oem,EV HCV,EV HCV,final-calibration-year,30,,15,0.3,-0.5,6
oem,ICE HCV,ICE HCV,initial-future-year,30,,15,0.3,-0.5,6
oem,EV HCV,EV HCV,initial-future-year,30,,15,0.3,-0.5,6
