# File: L101.in_EJ_ctry_bld_Fi_Yh.csv
# Title: energy balance bld
# Units: NA
# Column types: cccnn
# ----------
iso,sector,fuel,year,value
abw,in_bld_comm,biomass,1971,2.06E-06
abw,in_bld_comm,coal,1971,2.68E-05
abw,in_bld_comm,electricity,1971,4.03E-04
abw,in_bld_comm,gas,1971,3.10E-06
abw,in_bld_comm,refined liquids,1971,0.001294513
abw,in_bld_resid,biomass,1971,3.10E-06
abw,in_bld_resid,coal,1971,2.06E-06
abw,in_bld_resid,electricity,1971,2.47E-04
abw,in_bld_resid,gas,1971,1.03E-06
abw,in_bld_resid,refined liquids,1971,2.37E-05
abw,in_bld_resid,traditional biomass,1971,3.41E-05
afg,in_bld_comm,biomass,1971,0
afg,in_bld_comm,coal,1971,5.16E-04
afg,in_bld_comm,electricity,1971,7.38E-05
afg,in_bld_comm,gas,1971,0.004769675
afg,in_bld_comm,refined liquids,1971,0.021856915
afg,in_bld_resid,biomass,1971,8.11E-04
afg,in_bld_resid,coal,1971,0
afg,in_bld_resid,electricity,1971,6.88E-04
afg,in_bld_resid,refined liquids,1971,0.00115554
afg,in_bld_resid,traditional biomass,1971,0.057285277
ago,in_bld_comm,refined liquids,1971,0
ago,in_bld_resid,biomass,1971,0.01498588
ago,in_bld_resid,electricity,1971,0.00138138
ago,in_bld_resid,refined liquids,1971,0.00175812
ago,in_bld_resid,traditional biomass,1971,0.08125026
alb,in_bld_comm,biomass,1971,0
alb,in_bld_comm,coal,1971,0.0039767
alb,in_bld_comm,electricity,1971,0.0039767
alb,in_bld_comm,gas,1971,0.00443716
alb,in_bld_comm,refined liquids,1971,0.00385112
alb,in_bld_resid,biomass,1971,0.0156975
alb,in_bld_resid,coal,1971,0
alb,in_bld_resid,electricity,1971,0
alb,in_bld_resid,gas,1971,0
alb,in_bld_resid,heat,1971,0
alb,in_bld_resid,refined liquids,1971,6.28E-04
ant,in_bld_comm,biomass,1971,5.59E-06
ant,in_bld_comm,coal,1971,7.27E-05
ant,in_bld_comm,electricity,1971,0.001090474
ant,in_bld_comm,gas,1971,8.39E-06
ant,in_bld_comm,refined liquids,1971,0.003506292
ant,in_bld_resid,biomass,1971,8.39E-06
ant,in_bld_resid,coal,1971,5.59E-06
ant,in_bld_resid,electricity,1971,6.68E-04
ant,in_bld_resid,gas,1971,2.80E-06
ant,in_bld_resid,refined liquids,1971,6.43E-05
ant,in_bld_resid,traditional biomass,1971,9.23E-05
are,in_bld_comm,biomass,1971,0
are,in_bld_comm,electricity,1971,2.51E-04
