# File: L101.in_EJ_ctry_trn_Fi_Yh.csv
# Title: energy balance trn
# Units: NA
# Column types: cccnn
# ----------
iso,sector,fuel,year,value
abw,in_trn_domestic air,refined liquids,1971,6.71E-05
abw,in_trn_domestic ship,refined liquids,1971,0
abw,in_trn_international air,refined liquids,1971,3.50E-04
abw,in_trn_international ship,refined liquids,1971,0.001048824
abw,in_trn_road,refined liquids,1971,9.50E-05
abw,in_trn_unspecified,electricity,1971,0
abw,in_trn_unspecified,refined liquids,1971,0
afg,in_trn_domestic air,refined liquids,1971,0.002483182
afg,in_trn_domestic ship,refined liquids,1971,4.92E-04
afg,in_trn_international air,refined liquids,1971,0.003245346
afg,in_trn_international ship,refined liquids,1971,0.004450058
afg,in_trn_road,gas,1971,0
afg,in_trn_road,refined liquids,1971,0.014112339
afg,in_trn_unspecified,refined liquids,1971,0
ago,in_trn_domestic air,refined liquids,1971,0
ago,in_trn_domestic ship,refined liquids,1971,0
ago,in_trn_international air,refined liquids,1971,0.00322322
ago,in_trn_international ship,refined liquids,1971,0.01008826
ago,in_trn_road,refined liquids,1971,0.01406496
ago,in_trn_unspecified,refined liquids,1971,0
alb,in_trn_domestic ship,refined liquids,1971,0
alb,in_trn_international air,refined liquids,1971,0
alb,in_trn_international ship,refined liquids,1971,0
alb,in_trn_rail,refined liquids,1971,0
alb,in_trn_road,refined liquids,1971,0.0100464
alb,in_trn_unspecified,electricity,1971,0
ant,in_trn_domestic air,refined liquids,1971,1.82E-04
ant,in_trn_domestic ship,refined liquids,1971,0
ant,in_trn_international air,refined liquids,1971,9.48E-04
ant,in_trn_international ship,refined liquids,1971,0.002840824
ant,in_trn_road,refined liquids,1971,2.57E-04
ant,in_trn_unspecified,electricity,1971,0
ant,in_trn_unspecified,refined liquids,1971,0
are,in_trn_domestic air,refined liquids,1971,0
are,in_trn_international air,refined liquids,1971,2.93E-04
are,in_trn_international ship,refined liquids,1971,0
are,in_trn_road,refined liquids,1971,0.00573482
arg,in_trn_domestic air,refined liquids,1971,0.01657656
arg,in_trn_domestic ship,refined liquids,1971,0.02687412
arg,in_trn_international air,refined liquids,1971,0
arg,in_trn_international ship,refined liquids,1971,0.00883246
arg,in_trn_rail,coal,1971,8.37E-04
arg,in_trn_rail,electricity,1971,0.0010465
arg,in_trn_rail,refined liquids,1971,0
arg,in_trn_road,gas,1971,0
arg,in_trn_road,refined liquids,1971,0.2917642
arm,in_trn_domestic ship,refined liquids,1971,0.002708211
arm,in_trn_international air,refined liquids,1971,0
arm,in_trn_international ship,refined liquids,1971,0.002108463
arm,in_trn_rail,coal,1971,4.92E-04
arm,in_trn_rail,electricity,1971,0.001197948
arm,in_trn_rail,refined liquids,1971,0.004266405
arm,in_trn_road,electricity,1971,0
arm,in_trn_road,gas,1971,1.60E-04
arm,in_trn_road,refined liquids,1971,0.017535224
arm,in_trn_unspecified,electricity,1971,0
arm,in_trn_unspecified,refined liquids,1971,0.001608124
atg,in_trn_domestic air,refined liquids,1971,7.27E-05
atg,in_trn_domestic ship,refined liquids,1971,0
atg,in_trn_international air,refined liquids,1971,3.79E-04
atg,in_trn_international ship,refined liquids,1971,0.001135585
atg,in_trn_road,refined liquids,1971,1.03E-04
atg,in_trn_unspecified,electricity,1971,0
atg,in_trn_unspecified,refined liquids,1971,0
aus,in_trn_domestic air,refined liquids,1971,0.02766946
aus,in_trn_domestic ship,coal,1971,0
aus,in_trn_domestic ship,refined liquids,1971,0.04043676
aus,in_trn_international air,refined liquids,1971,0.02222766
aus,in_trn_international ship,refined liquids,1971,0.06685042
aus,in_trn_rail,coal,1971,0.00343252
aus,in_trn_rail,electricity,1971,0.00234416
aus,in_trn_rail,refined liquids,1971,0.0131859
aus,in_trn_road,gas,1971,0
aus,in_trn_road,refined liquids,1971,0.38687012
aus,in_trn_unspecified,electricity,1971,0
aus,in_trn_unspecified,gas,1971,0
aus,in_trn_unspecified,refined liquids,1971,0
aut,in_trn_domestic air,refined liquids,1971,3.77E-04
aut,in_trn_domestic ship,coal,1971,0
aut,in_trn_domestic ship,refined liquids,1971,9.63E-04
aut,in_trn_international air,refined liquids,1971,0.00389298
aut,in_trn_international ship,refined liquids,1971,0
aut,in_trn_rail,coal,1971,0.00707434
aut,in_trn_rail,electricity,1971,0.00573482
aut,in_trn_rail,refined liquids,1971,0.00351624
aut,in_trn_road,electricity,1971,0
aut,in_trn_road,gas,1971,0
aut,in_trn_road,refined liquids,1971,0.11934286
aut,in_trn_unspecified,electricity,1971,0
aze,in_trn_domestic air,refined liquids,1971,0
aze,in_trn_domestic ship,refined liquids,1971,0.003898642
aze,in_trn_international air,refined liquids,1971,0.006352731
aze,in_trn_international ship,refined liquids,1971,1.39E-04
aze,in_trn_rail,coal,1971,1.79E-04
aze,in_trn_rail,electricity,1971,0.002097954
aze,in_trn_rail,refined liquids,1971,0.00483415
aze,in_trn_road,gas,1971,6.44E-04
aze,in_trn_road,refined liquids,1971,0.026399578
aze,in_trn_unspecified,electricity,1971,0
aze,in_trn_unspecified,gas,1971,0
aze,in_trn_unspecified,refined liquids,1971,0.00226621
bdi,in_trn_domestic air,refined liquids,1971,6.64E-04
bdi,in_trn_domestic ship,refined liquids,1971,0
bdi,in_trn_international air,refined liquids,1971,0
bdi,in_trn_international ship,refined liquids,1971,0.002368398
bdi,in_trn_rail,coal,1971,0
bdi,in_trn_rail,refined liquids,1971,0
bdi,in_trn_road,refined liquids,1971,6.61E-04
bdi,in_trn_unspecified,electricity,1971,0
bel,in_trn_domestic air,refined liquids,1971,0
bel,in_trn_domestic ship,refined liquids,1971,0.01184638
bel,in_trn_international air,refined liquids,1971,0.0171626
bel,in_trn_international ship,refined liquids,1971,0.1063244
bel,in_trn_rail,coal,1971,7.95E-04
bel,in_trn_rail,electricity,1971,0.00276276
bel,in_trn_rail,refined liquids,1971,0.00590226
bel,in_trn_road,electricity,1971,0
bel,in_trn_road,gas,1971,0
bel,in_trn_road,refined liquids,1971,0.14759836
ben,in_trn_international air,refined liquids,1971,2.09E-04
ben,in_trn_rail,refined liquids,1971,0
ben,in_trn_road,refined liquids,1971,0.00343252
bfa,in_trn_domestic air,refined liquids,1971,0.001076111
bfa,in_trn_domestic ship,refined liquids,1971,0
bfa,in_trn_international air,refined liquids,1971,0
bfa,in_trn_international ship,refined liquids,1971,0.003840016
bfa,in_trn_rail,coal,1971,0
bfa,in_trn_rail,refined liquids,1971,0
bfa,in_trn_road,refined liquids,1971,0.001072335
bfa,in_trn_unspecified,electricity,1971,0
bgd,in_trn_domestic ship,refined liquids,1971,6.70E-04
bgd,in_trn_international air,refined liquids,1971,8.37E-04
bgd,in_trn_international ship,refined liquids,1971,8.37E-04
bgd,in_trn_rail,refined liquids,1971,3.35E-04
bgd,in_trn_road,gas,1971,0
bgd,in_trn_road,refined liquids,1971,0.00242788
bgd,in_trn_unspecified,refined liquids,1971,0
bgr,in_trn_domestic air,refined liquids,1971,0
bgr,in_trn_domestic ship,refined liquids,1971,0
bgr,in_trn_international air,refined liquids,1971,0.0085813
bgr,in_trn_international ship,refined liquids,1971,0
bgr,in_trn_rail,coal,1971,0.01096732
bgr,in_trn_rail,electricity,1971,0
bgr,in_trn_rail,refined liquids,1971,0
bgr,in_trn_road,electricity,1971,0
bgr,in_trn_road,gas,1971,0
bgr,in_trn_road,refined liquids,1971,0.05948306
bgr,in_trn_unspecified,electricity,1971,0
bgr,in_trn_unspecified,refined liquids,1971,0
bhr,in_trn_domestic air,refined liquids,1971,0
bhr,in_trn_international air,refined liquids,1971,0.0060697
bhr,in_trn_international ship,refined liquids,1971,0.00745108
bhr,in_trn_road,refined liquids,1971,0.0025116
bhs,in_trn_domestic air,refined liquids,1971,1.96E-04
bhs,in_trn_domestic ship,refined liquids,1971,0
bhs,in_trn_international air,refined liquids,1971,0.001023769
bhs,in_trn_international ship,refined liquids,1971,0.003068287
bhs,in_trn_road,refined liquids,1971,2.78E-04
bhs,in_trn_unspecified,electricity,1971,0
bhs,in_trn_unspecified,refined liquids,1971,0
bih,in_trn_international air,refined liquids,1971,0
bih,in_trn_rail,coal,1971,0.002626573
bih,in_trn_rail,electricity,1971,2.85E-04
bih,in_trn_rail,refined liquids,1971,0
bih,in_trn_road,electricity,1971,0
bih,in_trn_road,refined liquids,1971,0.019502149
blr,in_trn_domestic air,refined liquids,1971,0
blr,in_trn_domestic ship,refined liquids,1971,0.01337612
blr,in_trn_international air,refined liquids,1971,0
blr,in_trn_international ship,refined liquids,1971,0.00887349
blr,in_trn_rail,coal,1971,0.002825916
blr,in_trn_rail,electricity,1971,0.005268812
blr,in_trn_rail,refined liquids,1971,0.020376705
blr,in_trn_road,electricity,1971,0
blr,in_trn_road,gas,1971,5.57E-04
blr,in_trn_road,refined liquids,1971,0.048709332
blr,in_trn_unspecified,coal,1971,0
blr,in_trn_unspecified,refined liquids,1971,0.005804472
blz,in_trn_domestic air,refined liquids,1971,1.41E-04
blz,in_trn_domestic ship,refined liquids,1971,0
blz,in_trn_international air,refined liquids,1971,7.35E-04
blz,in_trn_international ship,refined liquids,1971,0.002201983
blz,in_trn_road,refined liquids,1971,1.99E-04
blz,in_trn_unspecified,electricity,1971,0
blz,in_trn_unspecified,refined liquids,1971,0
bmu,in_trn_domestic air,refined liquids,1971,6.00E-05
bmu,in_trn_domestic ship,refined liquids,1971,0
bmu,in_trn_international air,refined liquids,1971,3.13E-04
bmu,in_trn_international ship,refined liquids,1971,9.38E-04
bmu,in_trn_road,refined liquids,1971,8.49E-05
bmu,in_trn_unspecified,electricity,1971,0
bmu,in_trn_unspecified,refined liquids,1971,0
bol,in_trn_domestic air,refined liquids,1971,0.00121394
bol,in_trn_international air,refined liquids,1971,0
bol,in_trn_rail,refined liquids,1971,0
bol,in_trn_road,gas,1971,0
bol,in_trn_road,refined liquids,1971,0.0127673
bra,in_trn_domestic air,refined liquids,1971,0.03436706
bra,in_trn_domestic ship,refined liquids,1971,0.0280462
bra,in_trn_international air,refined liquids,1971,0
bra,in_trn_international ship,refined liquids,1971,0.01314404
bra,in_trn_rail,coal,1971,4.19E-04
bra,in_trn_rail,electricity,1971,0.00221858
bra,in_trn_rail,refined liquids,1971,0.01666028
bra,in_trn_road,gas,1971,0
bra,in_trn_road,refined liquids,1971,0.52015236
brb,in_trn_domestic air,refined liquids,1971,2.71E-04
brb,in_trn_domestic ship,refined liquids,1971,0
brb,in_trn_international air,refined liquids,1971,0.00141355
brb,in_trn_international ship,refined liquids,1971,0.00423648
brb,in_trn_road,refined liquids,1971,3.84E-04
brb,in_trn_unspecified,electricity,1971,0
brb,in_trn_unspecified,refined liquids,1971,0
brn,in_trn_international air,refined liquids,1971,4.19E-05
brn,in_trn_international ship,refined liquids,1971,0
brn,in_trn_road,refined liquids,1971,0.00117208
btn,in_trn_domestic air,refined liquids,1971,6.64E-05
btn,in_trn_domestic ship,refined liquids,1971,1.32E-05
btn,in_trn_international air,refined liquids,1971,8.68E-05
btn,in_trn_international ship,refined liquids,1971,1.19E-04
btn,in_trn_road,gas,1971,0
btn,in_trn_road,refined liquids,1971,3.77E-04
btn,in_trn_unspecified,refined liquids,1971,0
bwa,in_trn_domestic air,refined liquids,1971,0
bwa,in_trn_international air,refined liquids,1971,0
bwa,in_trn_rail,refined liquids,1971,0
bwa,in_trn_road,refined liquids,1971,0
caf,in_trn_domestic air,refined liquids,1971,3.46E-04
caf,in_trn_domestic ship,refined liquids,1971,0
caf,in_trn_international air,refined liquids,1971,0
caf,in_trn_international ship,refined liquids,1971,0.001234868
caf,in_trn_rail,coal,1971,0
caf,in_trn_rail,refined liquids,1971,0
caf,in_trn_road,refined liquids,1971,3.45E-04
caf,in_trn_unspecified,electricity,1971,0
can,in_trn_domestic air,refined liquids,1971,0.08593858
can,in_trn_domestic ship,coal,1971,0.00385112
can,in_trn_domestic ship,refined liquids,1971,0.05927376
can,in_trn_international air,refined liquids,1971,0.01770678
can,in_trn_international ship,refined liquids,1971,0.04031118
can,in_trn_rail,coal,1971,0.00196742
can,in_trn_rail,refined liquids,1971,0.08593858
can,in_trn_road,electricity,1971,0
can,in_trn_road,gas,1971,0
can,in_trn_road,refined liquids,1971,0.95846842
can,in_trn_unspecified,electricity,1971,0.0018837
can,in_trn_unspecified,gas,1971,0
can,in_trn_unspecified,refined liquids,1971,0
che,in_trn_domestic air,refined liquids,1971,3.35E-04
che,in_trn_domestic ship,refined liquids,1971,0.00192556
che,in_trn_international air,refined liquids,1971,0.02298114
che,in_trn_international ship,refined liquids,1971,0
che,in_trn_rail,electricity,1971,0.00724178
che,in_trn_rail,refined liquids,1971,8.37E-04
che,in_trn_road,gas,1971,0
che,in_trn_road,refined liquids,1971,0.12750556
chl,in_trn_domestic air,refined liquids,1971,0
chl,in_trn_domestic ship,coal,1971,5.02E-04
chl,in_trn_domestic ship,refined liquids,1971,0.00297206
chl,in_trn_international air,refined liquids,1971,0.00615342
chl,in_trn_international ship,refined liquids,1971,0.00782782
chl,in_trn_rail,coal,1971,0.00623714
chl,in_trn_rail,electricity,1971,7.53E-04
chl,in_trn_rail,refined liquids,1971,0.00192556
chl,in_trn_road,electricity,1971,0
chl,in_trn_road,gas,1971,0
chl,in_trn_road,refined liquids,1971,0.07170618
chl,in_trn_unspecified,electricity,1971,4.19E-05
chl,in_trn_unspecified,gas,1971,0
chn,in_trn_domestic air,refined liquids,1971,0
chn,in_trn_domestic ship,coal,1971,0
chn,in_trn_domestic ship,refined liquids,1971,0
chn,in_trn_international air,refined liquids,1971,0
chn,in_trn_international ship,refined liquids,1971,0.03110198
chn,in_trn_rail,coal,1971,0.26828074
chn,in_trn_rail,electricity,1971,0.0043953
chn,in_trn_rail,refined liquids,1971,0
chn,in_trn_road,electricity,1971,0
chn,in_trn_road,gas,1971,0
chn,in_trn_road,refined liquids,1971,0.20000708
chn,in_trn_unspecified,coal,1971,0
chn,in_trn_unspecified,gas,1971,5.44E-04
chn,in_trn_unspecified,refined liquids,1971,0.08342698
civ,in_trn_domestic air,refined liquids,1971,0
civ,in_trn_domestic ship,refined liquids,1971,0.00121394
civ,in_trn_international air,refined liquids,1971,0.00184184
civ,in_trn_international ship,refined liquids,1971,7.95E-04
civ,in_trn_rail,refined liquids,1971,5.02E-04
civ,in_trn_road,refined liquids,1971,0.01059058
cmr,in_trn_domestic air,refined liquids,1971,0
cmr,in_trn_domestic ship,refined liquids,1971,0
cmr,in_trn_international air,refined liquids,1971,0.00234416
cmr,in_trn_international ship,refined liquids,1971,0
cmr,in_trn_rail,refined liquids,1971,0
cmr,in_trn_road,refined liquids,1971,0.00791154
cod,in_trn_domestic ship,refined liquids,1971,0
cod,in_trn_international air,refined liquids,1971,0.00393484
cod,in_trn_international ship,refined liquids,1971,0.00527436
cod,in_trn_rail,electricity,1971,0
cod,in_trn_road,refined liquids,1971,0.00598598
cog,in_trn_domestic air,refined liquids,1971,0
cog,in_trn_domestic ship,refined liquids,1971,0
cog,in_trn_international air,refined liquids,1971,0
cog,in_trn_international ship,refined liquids,1971,0
cog,in_trn_rail,refined liquids,1971,0
cog,in_trn_road,refined liquids,1971,0.00477204
col,in_trn_domestic air,refined liquids,1971,0.00255346
col,in_trn_domestic ship,refined liquids,1971,0
col,in_trn_international air,refined liquids,1971,0.008372
col,in_trn_international ship,refined liquids,1971,0.012558
col,in_trn_rail,coal,1971,1.67E-04
col,in_trn_rail,electricity,1971,0
col,in_trn_rail,refined liquids,1971,2.09E-04
col,in_trn_road,gas,1971,0
col,in_trn_road,refined liquids,1971,0.08656648
col,in_trn_unspecified,gas,1971,0
col,in_trn_unspecified,refined liquids,1971,0.00740922
com,in_trn_domestic air,refined liquids,1971,4.41E-05
com,in_trn_domestic ship,refined liquids,1971,0
com,in_trn_international air,refined liquids,1971,0
com,in_trn_international ship,refined liquids,1971,1.57E-04
com,in_trn_rail,coal,1971,0
