# File: oem_prod.csv
# Title: oem production by country and sector
# Units: numbers
# Description: dummy
# Source: siam report to be changed
# Column types: cinnnnnnnnnnc
# ----------
iso,year,ICE Passenger vehicles,EV Passenger vehicles,ICE HCV,EV HCV,ICE LCV,EV LCV,3W,E 3W,E 2W,2W,unit_prod
alb,1971,0,0,0,0,0,0,0,0,0,0,vehicle
are,1971,0,0,0,0,0,0,0,0,0,0,vehicle
arg,1971,0,0,0,0,0,0,0,0,0,0,vehicle
aus,1971,0,0,0,0,0,0,0,0,0,0,vehicle
aut,1971,0,0,0,0,0,0,0,0,0,0,vehicle
bel,1971,0,0,0,0,0,0,0,0,0,0,vehicle
bgr,1971,0,0,0,0,0,0,0,0,0,0,vehicle
bih,1971,0,0,0,0,0,0,0,0,0,0,vehicle
blr,1971,0,0,0,0,0,0,0,0,0,0,vehicle
bra,1971,0,0,0,0,0,0,0,0,0,0,vehicle
can,1971,0,0,0,0,0,0,0,0,0,0,vehicle
che,1971,0,0,0,0,0,0,0,0,0,0,vehicle
chl,1971,0,0,0,0,0,0,0,0,0,0,vehicle
chn,1971,0,0,0,0,0,0,0,0,0,0,vehicle
col,1971,0,0,0,0,0,0,0,0,0,0,vehicle
cub,1971,0,0,0,0,0,0,0,0,0,0,vehicle
cze,1971,0,0,0,0,0,0,0,0,0,0,vehicle
deu,1971,0,0,0,0,0,0,0,0,0,0,vehicle
dnk,1971,0,0,0,0,0,0,0,0,0,0,vehicle
dom,1971,0,0,0,0,0,0,0,0,0,0,vehicle
dza,1971,0,0,0,0,0,0,0,0,0,0,vehicle
ecu,1971,0,0,0,0,0,0,0,0,0,0,vehicle
egy,1971,0,0,0,0,0,0,0,0,0,0,vehicle
esp,1971,0,0,0,0,0,0,0,0,0,0,vehicle
est,1971,0,0,0,0,0,0,0,0,0,0,vehicle
fin,1971,0,0,0,0,0,0,0,0,0,0,vehicle
fra,1971,0,0,0,0,0,0,0,0,0,0,vehicle
gbr,1971,0,0,0,0,0,0,0,0,0,0,vehicle
gha,1971,0,0,0,0,0,0,0,0,0,0,vehicle
grc,1971,0,0,0,0,0,0,0,0,0,0,vehicle
gtm,1971,0,0,0,0,0,0,0,0,0,0,vehicle
hrv,1971,0,0,0,0,0,0,0,0,0,0,vehicle
hun,1971,0,0,0,0,0,0,0,0,0,0,vehicle
idn,1971,0,0,0,0,0,0,0,0,0,0,vehicle
ind,1971,0,0,0,0,0,0,0,0,0,0,vehicle
irl,1971,0,0,0,0,0,0,0,0,0,0,vehicle
irn,1971,0,0,0,0,0,0,0,0,0,0,vehicle
isr,1971,0,0,0,0,0,0,0,0,0,0,vehicle
ita,1971,0,0,0,0,0,0,0,0,0,0,vehicle
jor,1971,0,0,0,0,0,0,0,0,0,0,vehicle
jpn,1971,0,0,0,0,0,0,0,0,0,0,vehicle
kaz,1971,0,0,0,0,0,0,0,0,0,0,vehicle
ken,1971,0,0,0,0,0,0,0,0,0,0,vehicle
kor,1971,0,0,0,0,0,0,0,0,0,0,vehicle
lby,1971,0,0,0,0,0,0,0,0,0,0,vehicle
lka,1971,0,0,0,0,0,0,0,0,0,0,vehicle
lux,1971,0,0,0,0,0,0,0,0,0,0,vehicle
lva,1971,0,0,0,0,0,0,0,0,0,0,vehicle
mar,1971,0,0,0,0,0,0,0,0,0,0,vehicle
mda,1971,0,0,0,0,0,0,0,0,0,0,vehicle
mex,1971,0,0,0,0,0,0,0,0,0,0,vehicle
mkd,1971,0,0,0,0,0,0,0,0,0,0,vehicle
mmr,1971,0,0,0,0,0,0,0,0,0,0,vehicle
mys,1971,0,0,0,0,0,0,0,0,0,0,vehicle
nld,1971,0,0,0,0,0,0,0,0,0,0,vehicle
nor,1971,0,0,0,0,0,0,0,0,0,0,vehicle
nzl,1971,0,0,0,0,0,0,0,0,0,0,vehicle
pak,1971,0,0,0,0,0,0,0,0,0,0,vehicle
per,1971,0,0,0,0,0,0,0,0,0,0,vehicle
phl,1971,0,0,0,0,0,0,0,0,0,0,vehicle
pol,1971,0,0,0,0,0,0,0,0,0,0,vehicle
prk,1971,0,0,0,0,0,0,0,0,0,0,vehicle
prt,1971,0,0,0,0,0,0,0,0,0,0,vehicle
pry,1971,0,0,0,0,0,0,0,0,0,0,vehicle
qat,1971,0,0,0,0,0,0,0,0,0,0,vehicle
rom,1971,0,0,0,0,0,0,0,0,0,0,vehicle
rus,1971,0,0,0,0,0,0,0,0,0,0,vehicle
sau,1971,0,0,0,0,0,0,0,0,0,0,vehicle
sgp,1971,0,0,0,0,0,0,0,0,0,0,vehicle
slv,1971,0,0,0,0,0,0,0,0,0,0,vehicle
svk,1971,0,0,0,0,0,0,0,0,0,0,vehicle
svn,1971,0,0,0,0,0,0,0,0,0,0,vehicle
swe,1971,0,0,0,0,0,0,0,0,0,0,vehicle
syr,1971,0,0,0,0,0,0,0,0,0,0,vehicle
tha,1971,0,0,0,0,0,0,0,0,0,0,vehicle
tto,1971,0,0,0,0,0,0,0,0,0,0,vehicle
tun,1971,0,0,0,0,0,0,0,0,0,0,vehicle
tur,1971,0,0,0,0,0,0,0,0,0,0,vehicle
twn,1971,0,0,0,0,0,0,0,0,0,0,vehicle
ukr,1971,0,0,0,0,0,0,0,0,0,0,vehicle
ury,1971,0,0,0,0,0,0,0,0,0,0,vehicle
usa,1971,0,0,0,0,0,0,0,0,0,0,vehicle
uzb,1971,0,0,0,0,0,0,0,0,0,0,vehicle
ven,1971,0,0,0,0,0,0,0,0,0,0,vehicle
vnm,1971,0,0,0,0,0,0,0,0,0,0,vehicle
zaf,1971,0,0,0,0,0,0,0,0,0,0,vehicle
alb,1972,0,0,0,0,0,0,0,0,0,0,vehicle
are,1972,0,0,0,0,0,0,0,0,0,0,vehicle
arg,1972,0,0,0,0,0,0,0,0,0,0,vehicle
aus,1972,0,0,0,0,0,0,0,0,0,0,vehicle
aut,1972,0,0,0,0,0,0,0,0,0,0,vehicle
bel,1972,0,0,0,0,0,0,0,0,0,0,vehicle
bgr,1972,0,0,0,0,0,0,0,0,0,0,vehicle
bih,1972,0,0,0,0,0,0,0,0,0,0,vehicle
blr,1972,0,0,0,0,0,0,0,0,0,0,vehicle
bra,1972,0,0,0,0,0,0,0,0,0,0,vehicle
can,1972,0,0,0,0,0,0,0,0,0,0,vehicle
che,1972,0,0,0,0,0,0,0,0,0,0,vehicle
chl,1972,0,0,0,0,0,0,0,0,0,0,vehicle
chn,1972,0,0,0,0,0,0,0,0,0,0,vehicle
col,1972,0,0,0,0,0,0,0,0,0,0,vehicle
cub,1972,0,0,0,0,0,0,0,0,0,0,vehicle
cze,1972,0,0,0,0,0,0,0,0,0,0,vehicle
deu,1972,0,0,0,0,0,0,0,0,0,0,vehicle
dnk,1972,0,0,0,0,0,0,0,0,0,0,vehicle
dom,1972,0,0,0,0,0,0,0,0,0,0,vehicle
