# File: parts_prod.csv
# Title: parts production by country and sector
# Units: numbers
# Description: dummy
# Source:  to be changed
# Column types: cinnnnnnnc
# ----------
iso,year,Bodies,Chassi,Seat,Engine,Electrical equipment,others,Battery,unit_prod
alb,1971,0,0,0,0,0,0,0,number
are,1971,0,0,0,0,0,0,0,number
arg,1971,0,0,0,0,0,0,0,number
aus,1971,0,0,0,0,0,0,0,number
aut,1971,0,0,0,0,0,0,0,number
bel,1971,0,0,0,0,0,0,0,number
bgr,1971,0,0,0,0,0,0,0,number
bih,1971,0,0,0,0,0,0,0,number
blr,1971,0,0,0,0,0,0,0,number
bra,1971,0,0,0,0,0,0,0,number
can,1971,0,0,0,0,0,0,0,number
che,1971,0,0,0,0,0,0,0,number
chl,1971,0,0,0,0,0,0,0,number
chn,1971,0,0,0,0,0,0,0,number
col,1971,0,0,0,0,0,0,0,number
cub,1971,0,0,0,0,0,0,0,number
cze,1971,0,0,0,0,0,0,0,number
deu,1971,0,0,0,0,0,0,0,number
dnk,1971,0,0,0,0,0,0,0,number
dom,1971,0,0,0,0,0,0,0,number
dza,1971,0,0,0,0,0,0,0,number
ecu,1971,0,0,0,0,0,0,0,number
egy,1971,0,0,0,0,0,0,0,number
esp,1971,0,0,0,0,0,0,0,number
est,1971,0,0,0,0,0,0,0,number
fin,1971,0,0,0,0,0,0,0,number
fra,1971,0,0,0,0,0,0,0,number
gbr,1971,0,0,0,0,0,0,0,number
gha,1971,0,0,0,0,0,0,0,number
grc,1971,0,0,0,0,0,0,0,number
gtm,1971,0,0,0,0,0,0,0,number
hrv,1971,0,0,0,0,0,0,0,number
hun,1971,0,0,0,0,0,0,0,number
idn,1971,0,0,0,0,0,0,0,number
ind,1971,0,0,0,0,0,0,0,number
irl,1971,0,0,0,0,0,0,0,number
irn,1971,0,0,0,0,0,0,0,number
isr,1971,0,0,0,0,0,0,0,number
ita,1971,0,0,0,0,0,0,0,number
jor,1971,0,0,0,0,0,0,0,number
jpn,1971,0,0,0,0,0,0,0,number
kaz,1971,0,0,0,0,0,0,0,number
ken,1971,0,0,0,0,0,0,0,number
kor,1971,0,0,0,0,0,0,0,number
lby,1971,0,0,0,0,0,0,0,number
lka,1971,0,0,0,0,0,0,0,number
lux,1971,0,0,0,0,0,0,0,number
lva,1971,0,0,0,0,0,0,0,number
mar,1971,0,0,0,0,0,0,0,number
mda,1971,0,0,0,0,0,0,0,number
mex,1971,0,0,0,0,0,0,0,number
mkd,1971,0,0,0,0,0,0,0,number
mmr,1971,0,0,0,0,0,0,0,number
mys,1971,0,0,0,0,0,0,0,number
nld,1971,0,0,0,0,0,0,0,number
nor,1971,0,0,0,0,0,0,0,number
nzl,1971,0,0,0,0,0,0,0,number
pak,1971,0,0,0,0,0,0,0,number
per,1971,0,0,0,0,0,0,0,number
phl,1971,0,0,0,0,0,0,0,number
pol,1971,0,0,0,0,0,0,0,number
prk,1971,0,0,0,0,0,0,0,number
prt,1971,0,0,0,0,0,0,0,number
pry,1971,0,0,0,0,0,0,0,number
qat,1971,0,0,0,0,0,0,0,number
rom,1971,0,0,0,0,0,0,0,number
rus,1971,0,0,0,0,0,0,0,number
sau,1971,0,0,0,0,0,0,0,number
sgp,1971,0,0,0,0,0,0,0,number
slv,1971,0,0,0,0,0,0,0,number
svk,1971,0,0,0,0,0,0,0,number
svn,1971,0,0,0,0,0,0,0,number
swe,1971,0,0,0,0,0,0,0,number
syr,1971,0,0,0,0,0,0,0,number
tha,1971,0,0,0,0,0,0,0,number
tto,1971,0,0,0,0,0,0,0,number
tun,1971,0,0,0,0,0,0,0,number
tur,1971,0,0,0,0,0,0,0,number
twn,1971,0,0,0,0,0,0,0,number
ukr,1971,0,0,0,0,0,0,0,number
ury,1971,0,0,0,0,0,0,0,number
usa,1971,0,0,0,0,0,0,0,number
uzb,1971,0,0,0,0,0,0,0,number
ven,1971,0,0,0,0,0,0,0,number
vnm,1971,0,0,0,0,0,0,0,number
zaf,1971,0,0,0,0,0,0,0,number
alb,1972,0,0,0,0,0,0,0,number
are,1972,0,0,0,0,0,0,0,number
arg,1972,0,0,0,0,0,0,0,number
aus,1972,0,0,0,0,0,0,0,number
aut,1972,0,0,0,0,0,0,0,number
bel,1972,0,0,0,0,0,0,0,number
bgr,1972,0,0,0,0,0,0,0,number
bih,1972,0,0,0,0,0,0,0,number
blr,1972,0,0,0,0,0,0,0,number
bra,1972,0,0,0,0,0,0,0,number
can,1972,0,0,0,0,0,0,0,number
che,1972,0,0,0,0,0,0,0,number
chl,1972,0,0,0,0,0,0,0,number
chn,1972,0,0,0,0,0,0,0,number
col,1972,0,0,0,0,0,0,0,number
cub,1972,0,0,0,0,0,0,0,number
cze,1972,0,0,0,0,0,0,0,number
deu,1972,0,0,0,0,0,0,0,number
dnk,1972,0,0,0,0,0,0,0,number
dom,1972,0,0,0,0,0,0,0,number
dza,1972,0,0,0,0,0,0,0,number
ecu,1972,0,0,0,0,0,0,0,number
egy,1972,0,0,0,0,0,0,0,number
esp,1972,0,0,0,0,0,0,0,number
est,1972,0,0,0,0,0,0,0,number
fin,1972,0,0,0,0,0,0,0,number
fra,1972,0,0,0,0,0,0,0,number
gbr,1972,0,0,0,0,0,0,0,number
gha,1972,0,0,0,0,0,0,0,number
grc,1972,0,0,0,0,0,0,0,number
gtm,1972,0,0,0,0,0,0,0,number
hrv,1972,0,0,0,0,0,0,0,number
hun,1972,0,0,0,0,0,0,0,number
idn,1972,0,0,0,0,0,0,0,number
ind,1972,0,0,0,0,0,0,0,number
irl,1972,0,0,0,0,0,0,0,number
irn,1972,0,0,0,0,0,0,0,number
isr,1972,0,0,0,0,0,0,0,number
ita,1972,0,0,0,0,0,0,0,number
jor,1972,0,0,0,0,0,0,0,number
jpn,1972,0,0,0,0,0,0,0,number
kaz,1972,0,0,0,0,0,0,0,number
ken,1972,0,0,0,0,0,0,0,number
kor,1972,0,0,0,0,0,0,0,number
lby,1972,0,0,0,0,0,0,0,number
lka,1972,0,0,0,0,0,0,0,number
lux,1972,0,0,0,0,0,0,0,number
lva,1972,0,0,0,0,0,0,0,number
mar,1972,0,0,0,0,0,0,0,number
mda,1972,0,0,0,0,0,0,0,number
mex,1972,0,0,0,0,0,0,0,number
mkd,1972,0,0,0,0,0,0,0,number
mmr,1972,0,0,0,0,0,0,0,number
mys,1972,0,0,0,0,0,0,0,number
nld,1972,0,0,0,0,0,0,0,number
nor,1972,0,0,0,0,0,0,0,number
nzl,1972,0,0,0,0,0,0,0,number
pak,1972,0,0,0,0,0,0,0,number
per,1972,0,0,0,0,0,0,0,number
phl,1972,0,0,0,0,0,0,0,number
pol,1972,0,0,0,0,0,0,0,number
prk,1972,0,0,0,0,0,0,0,number
prt,1972,0,0,0,0,0,0,0,number
pry,1972,0,0,0,0,0,0,0,number
qat,1972,0,0,0,0,0,0,0,number
rom,1972,0,0,0,0,0,0,0,number
rus,1972,0,0,0,0,0,0,0,number
sau,1972,0,0,0,0,0,0,0,number
sgp,1972,0,0,0,0,0,0,0,number
slv,1972,0,0,0,0,0,0,0,number
svk,1972,0,0,0,0,0,0,0,number
svn,1972,0,0,0,0,0,0,0,number
swe,1972,0,0,0,0,0,0,0,number
syr,1972,0,0,0,0,0,0,0,number
tha,1972,0,0,0,0,0,0,0,number
tto,1972,0,0,0,0,0,0,0,number
tun,1972,0,0,0,0,0,0,0,number
tur,1972,0,0,0,0,0,0,0,number
twn,1972,0,0,0,0,0,0,0,number
ukr,1972,0,0,0,0,0,0,0,number
ury,1972,0,0,0,0,0,0,0,number
usa,1972,0,0,0,0,0,0,0,number
uzb,1972,0,0,0,0,0,0,0,number
ven,1972,0,0,0,0,0,0,0,number
vnm,1972,0,0,0,0,0,0,0,number
zaf,1972,0,0,0,0,0,0,0,number
alb,1973,0,0,0,0,0,0,0,number
are,1973,0,0,0,0,0,0,0,number
arg,1973,0,0,0,0,0,0,0,number
aus,1973,0,0,0,0,0,0,0,number
aut,1973,0,0,0,0,0,0,0,number
bel,1973,0,0,0,0,0,0,0,number
bgr,1973,0,0,0,0,0,0,0,number
bih,1973,0,0,0,0,0,0,0,number
blr,1973,0,0,0,0,0,0,0,number
bra,1973,0,0,0,0,0,0,0,number
can,1973,0,0,0,0,0,0,0,number
che,1973,0,0,0,0,0,0,0,number
chl,1973,0,0,0,0,0,0,0,number
chn,1973,0,0,0,0,0,0,0,number
col,1973,0,0,0,0,0,0,0,number
cub,1973,0,0,0,0,0,0,0,number
cze,1973,0,0,0,0,0,0,0,number
deu,1973,0,0,0,0,0,0,0,number
dnk,1973,0,0,0,0,0,0,0,number
dom,1973,0,0,0,0,0,0,0,number
dza,1973,0,0,0,0,0,0,0,number
ecu,1973,0,0,0,0,0,0,0,number
egy,1973,0,0,0,0,0,0,0,number
esp,1973,0,0,0,0,0,0,0,number
est,1973,0,0,0,0,0,0,0,number
fin,1973,0,0,0,0,0,0,0,number
fra,1973,0,0,0,0,0,0,0,number
gbr,1973,0,0,0,0,0,0,0,number
gha,1973,0,0,0,0,0,0,0,number
grc,1973,0,0,0,0,0,0,0,number
gtm,1973,0,0,0,0,0,0,0,number
hrv,1973,0,0,0,0,0,0,0,number
hun,1973,0,0,0,0,0,0,0,number
idn,1973,0,0,0,0,0,0,0,number
ind,1973,0,0,0,0,0,0,0,number
irl,1973,0,0,0,0,0,0,0,number
irn,1973,0,0,0,0,0,0,0,number
isr,1973,0,0,0,0,0,0,0,number
ita,1973,0,0,0,0,0,0,0,number
jor,1973,0,0,0,0,0,0,0,number
jpn,1973,0,0,0,0,0,0,0,number
kaz,1973,0,0,0,0,0,0,0,number
ken,1973,0,0,0,0,0,0,0,number
kor,1973,0,0,0,0,0,0,0,number
lby,1973,0,0,0,0,0,0,0,number
lka,1973,0,0,0,0,0,0,0,number
lux,1973,0,0,0,0,0,0,0,number
lva,1973,0,0,0,0,0,0,0,number
mar,1973,0,0,0,0,0,0,0,number
mda,1973,0,0,0,0,0,0,0,number
mex,1973,0,0,0,0,0,0,0,number
mkd,1973,0,0,0,0,0,0,0,number
mmr,1973,0,0,0,0,0,0,0,number
mys,1973,0,0,0,0,0,0,0,number
nld,1973,0,0,0,0,0,0,0,number
nor,1973,0,0,0,0,0,0,0,number
nzl,1973,0,0,0,0,0,0,0,number
pak,1973,0,0,0,0,0,0,0,number
per,1973,0,0,0,0,0,0,0,number
phl,1973,0,0,0,0,0,0,0,number
pol,1973,0,0,0,0,0,0,0,number
prk,1973,0,0,0,0,0,0,0,number
prt,1973,0,0,0,0,0,0,0,number
pry,1973,0,0,0,0,0,0,0,number
qat,1973,0,0,0,0,0,0,0,number
rom,1973,0,0,0,0,0,0,0,number
rus,1973,0,0,0,0,0,0,0,number
sau,1973,0,0,0,0,0,0,0,number
sgp,1973,0,0,0,0,0,0,0,number
slv,1973,0,0,0,0,0,0,0,number
svk,1973,0,0,0,0,0,0,0,number
